trade_date,symbol,branch_label,regime_label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,gross_trade_ret,trade_ret,MFE,MAE,sector,price_bucket,market_cap_bucket,calendar_year,quarter_label,avg_dollar_volume_20,liquidity_bucket,slippage_bps_per_side,fee_bps_round_trip,first5_range_pos,first5_pace,close_vs_vwap
2025-10-16,ABSI,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-10-16T09:35:00-04:00,5.172585,4.88,5.7577549999999995,2025-10-16T11:14:00-04:00,4.87756,stop,-5.703627876583949,-5.723627876583949,0.819996191459398,-8.459696650707519,Healthcare,03-10,300m_to_2b,2025,2025-Q4,1130564.0,micro,5.0,2.0,1.0,3.815608846558001,1.121596319222462
2025-10-16,ABSI,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-10-16T09:35:00-04:00,5.144584991747194,4.88,5.6737549752415815,2025-10-16T11:14:00-04:00,4.87756,stop,-5.190408792459416,-5.210408792459416,1.3687208660322259,-7.961477794695564,Healthcare,03-10,300m_to_2b,2025,2025-Q4,1130564.0,micro,5.0,2.0,1.0,3.815608846558001,1.121596319222462
2025-10-30,CNC,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-10-30T09:35:00-04:00,36.4182,35.605,38.0446,2025-10-30T14:27:00-04:00,35.5871975,stop,-2.281832984606589,-2.301832984606589,1.7348468622831397,-3.701995156268016,Healthcare,20-40,gt_10b,2025,2025-Q4,29320488.524,high,5.0,2.0,0.9371069182389974,2.014577674981443,0.14924158864697556
2025-10-30,CNC,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-10-30T09:35:00-04:00,36.32544057355622,35.605,37.76632172066867,2025-10-30T14:27:00-04:00,35.5871975,stop,-2.0323031514547885,-2.0523031514547885,1.9946335543449183,-3.456091801595774,Healthcare,20-40,gt_10b,2025,2025-Q4,29320488.524,high,5.0,2.0,0.9371069182389974,2.014577674981443,0.14924158864697556
2025-11-06,CHYM,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-11-06T14:24:00-05:00,18.74937,18.015,20.218109999999996,2025-11-06T15:55:00-05:00,18.340825000000002,time_exit,-2.1789798803906297,-2.1989798803906297,0.0033601128997988662,-2.850069095654943,Technology,10-20,2b_to_10b,2025,2025-Q4,3064360.6,low,5.0,2.0,0.5172413793103463,6.183270255465366,0.14220867399150627
2025-11-06,CHYM,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-11-06T09:35:00-05:00,18.35733608654573,18.015,19.042008259637186,2025-11-06T09:41:00-05:00,18.0059925,stop,-1.913913788413073,-1.933913788413073,2.139002694089467,-3.9621004001708156,Technology,10-20,2b_to_10b,2025,2025-Q4,3064360.6,low,5.0,2.0,0.5172413793103463,6.183270255465366,0.14220867399150627
2025-11-11,BW,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-11-11T09:35:00-05:00,7.153575,6.69,8.080725,2025-11-11T15:25:00-05:00,6.686655000000001,stop,-6.5270861072959905,-6.54708610729599,0.9285567006706399,-7.528753105964498,Industrials,03-10,2b_to_10b,2025,2025-Q4,746971.405,micro,5.0,2.0,1.0,3.2665133948467546,2.221923644879742
2025-11-11,BW,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-11-11T09:35:00-05:00,7.084892982335623,6.69,7.874678947006867,2025-11-11T15:25:00-05:00,6.686655000000001,stop,-5.620945627951286,-5.640945627951286,1.9069733022253423,-6.6323229370885475,Industrials,03-10,2b_to_10b,2025,2025-Q4,746971.405,micro,5.0,2.0,1.0,3.2665133948467546,2.221923644879742
2025-11-14,ACVA,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-11-14T09:35:00-05:00,6.253125,6.2,6.359374999999999,2025-11-14T09:37:00-05:00,6.1969,stop,-0.8991504247875987,-0.9191504247875987,1.0694652673663243,-4.047976011994001,Consumer Cyclical,03-10,300m_to_2b,2025,2025-Q4,2042863.559,low,5.0,2.0,1.0,1.0930297670457394,0.41841378742359936
2025-11-14,ACVA,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-11-14T09:35:00-05:00,6.234426636508782,6.2,6.303279909526345,2025-11-14T09:37:00-05:00,6.1969,stop,-0.6019260261886081,-0.6219260261886081,1.3725939606073996,-3.7601956070182956,Consumer Cyclical,03-10,300m_to_2b,2025,2025-Q4,2042863.559,low,5.0,2.0,1.0,1.0930297670457394,0.41841378742359936
2025-11-19,AS,continuation_compare,regime_a_open_above_prev_close,2025-11-19T09:37:00-05:00,34.587285,34.01,35.74185500000001,2025-11-19T10:35:00-05:00,35.740700710000006,target,3.33479690585718,3.31479690585718,3.5062451418201683,-0.830608704904141,Consumer Cyclical,20-40,gt_10b,2025,2025-Q4,9218760.41,mid,5.0,2.0,0.5714285714285696,6.579465069317275,0.2675349618741274
2025-12-22,BMRN,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-12-22T09:35:00-05:00,61.02107637812801,60.49,62.08322913438402,2025-12-22T09:39:00-05:00,60.45975500000001,stop,-0.9198811483587593,-0.9398811483587594,0.45709390660956095,-3.705402317253216,Healthcare,40+,gt_10b,2025,2025-Q4,8620804.323,mid,5.0,2.0,0.5536723163841762,2.0926277159394004,0.003697569521388111
2026-01-06,AMKR,continuation_compare,regime_a_open_above_prev_close,2026-01-06T09:35:00-05:00,49.98498,49.25,51.45494,2026-01-06T09:44:00-05:00,51.453470395000004,target,2.9378633241425796,2.9178633241425795,6.171894036968705,-0.31005313996324874,Technology,40+,gt_10b,2026,2026-Q1,7869270.06,mid,5.0,2.0,1.0,5.706139051987244,0.764665114939489
2026-01-07,CRML,continuation_compare,regime_a_open_above_prev_close,2026-01-07T09:35:00-05:00,13.606799999999998,12.26,16.300399999999996,2026-01-07T10:35:00-05:00,12.253870000000001,stop,-9.943043184290188,-9.963043184290187,2.70599994120588,-9.897992180380387,Basic Materials,10-20,300m_to_2b,2026,2026-Q1,2413261.0700000003,low,5.0,2.0,0.9701492537313439,36.267007116639896,2.8319101582523487
2026-01-08,CRML,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-01-08T09:35:00-05:00,13.1815875,12.295,14.954762499999998,2026-01-08T09:53:00-05:00,14.952989764999998,target,13.438459252347254,13.418459252347255,15.236499397360149,-0.8465406765307961,Basic Materials,10-20,300m_to_2b,2026,2026-Q1,3205564.6879999996,low,5.0,2.0,0.9090909090909091,5.358088671333655,2.544646048741561
2026-01-08,CRML,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-01-08T09:35:00-05:00,12.829732262658228,12.295,13.899196787974683,2026-01-08T09:45:00-05:00,13.898127587609668,target,8.327495095599733,8.307495095599734,18.39685886673945,1.87274163188181,Basic Materials,10-20,300m_to_2b,2026,2026-Q1,3205564.6879999996,low,5.0,2.0,0.9090909090909091,5.358088671333655,2.544646048741561
2026-01-09,ARDX,continuation_compare,regime_a_open_above_prev_close,2026-01-09T09:35:00-05:00,7.70385,7.325,8.461549999999999,2026-01-09T15:55:00-05:00,7.746125,time_exit,0.5487515982268614,0.5287515982268614,4.493207941483812,-3.0354952393932946,Healthcare,03-10,300m_to_2b,2026,2026-Q1,1490593.0350000001,micro,5.0,2.0,0.9733333333333339,8.342570686974932,1.2779977027407519
2026-01-12,APLD,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-01-12T09:35:00-05:00,36.91845,35.96,38.83535,2026-01-12T10:19:00-05:00,38.833433570000004,target,5.187063839354047,5.167063839354047,6.992574173617798,-0.781316658743792,Technology,20-40,2b_to_10b,2026,2026-Q1,28973771.025499996,high,5.0,2.0,0.851063829787233,3.3345415891831682,0.8775207363367121
2026-01-12,APLD,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-01-12T09:35:00-05:00,36.560853412322274,35.96,37.76256023696682,2026-01-12T09:39:00-05:00,37.76135882143324,target,3.283581473255094,3.263581473255094,8.039053559639097,0.1891273896096305,Technology,20-40,2b_to_10b,2026,2026-Q1,28973771.025499996,high,5.0,2.0,0.851063829787233,3.3345415891831682,0.8775207363367121
2026-01-13,BILI,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-01-13T09:35:00-05:00,32.0310075,31.645,32.803022500000004,2026-01-13T09:51:00-05:00,31.6291775,stop,-1.2545031560434068,-1.2745031560434068,0.18417310164222037,-2.719263513643775,Communication Services,20-40,gt_10b,2026,2026-Q1,3690388.94,low,5.0,2.0,0.9324324324324269,9.278885319876338,0.22690488475960446
2026-01-13,BILI,reclaim_vwap,regime_b_open_at_or_below_prev_close,2026-01-13T09:35:00-05:00,31.9455700273216,31.645,32.546710081964804,2026-01-13T09:51:00-05:00,31.6291775,stop,-0.9904112747119678,-1.0104112747119678,0.45211267964502744,-2.4590890901296745,Communication Services,20-40,gt_10b,2026,2026-Q1,3690388.94,low,5.0,2.0,0.9324324324324269,9.278885319876338,0.22690488475960446
2026-01-20,CTMX,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2026-01-20T09:38:00-05:00,5.352675,5.12,5.818024999999999,2026-01-20T15:55:00-05:00,5.4122925,time_exit,1.1137888999425667,1.0937888999425667,4.060119472973806,-0.9840873955545556,Healthcare,03-10,300m_to_2b,2026,2026-Q1,736101.27,micro,5.0,2.0,0.6086956521739129,3.90014162045937,0.03591030960716779
